"년도","월","회원타입","건수","현년 전기사용량","전년 전기사용량","전전년 전기사용량","토탈 전기 증감량","토탈 전기탄소 증감량","현년 가스사용량","전년 가스사용량","전전년 가스사용량","토탈 가스 증감량","토탈 가스탄소 증감량","현년 수도사용량","전년 수도사용량","전전년 수도사용량","토탈 수도 증감량","토탈 수도탄소 증감량","현년 지역난방 사용량","전년 지역난방 사용량","전전년 지역난방 사용량","토탈 지역난방 증감량","토탈 지역난방탄소 증감량","등록일"
"2023","02","학교","6686","156212159","157879854","147026809","3758827.5","1593742.86","6626730","7255559","6954527","-478313","-1071421.12","1670878.6","1558208.6","1387412.2","198068.2","65758.6424","21391.059","27284.173","23351.389","-3926.722","-6667.713388","2023-05-01 04:13:09.0"
"2023","02","종교단체","810","8882371","8603719","7827413","666805","282725.32","653880","713692","676395","-41163.5","-92206.24","43815","38138","31365","9063.5","3009.082","0","0","0","0","0","2023-05-01 04:13:09.0"
"2023","02","소상공인","49154","104230033","105285166","100076719","1549090.5","656814.372","3736526","3826949","3651180","-2538.5","-5686.24","1532331.8","1459420.9","1314505","145368.85","48262.4582","2211.41","3155.17","2193.81","-463.08","-649.340404","2023-05-01 04:13:09.0"
"2023","02","기업","19032","571542443","583672346","553650148","2881196","1221627.104","40105191","49129586","50022508","-9470856","-21214717.44","4244692.1","3966371","3535191.8","493910.7","163978.3524","0","0","0","0","0","2023-05-01 04:13:09.0"
"2023","02","공동주택관리소","3629","522468207","541038378","537803346","-16952655","-7187925.72","15160829","16370167","16198138","-1123323.5","-2516244.64","20100920.8","20956560.6","21387511.6","-1071115.3","-355610.2796","0","0","0","0","0","2023-05-01 04:13:09.0"
"2023","02","공공기관","2367","152657759","155083076","148188090","1022176","433402.624","6076947","5871865","5920641","180694","404754.56","837901.4","671200.4","588188.8","208206.8","69124.6576","0","0","0","0","0","2023-05-01 04:13:09.0"
"2023","02","개인","1190835","272702468","285251670","286669183","-13257958.5","-5621374.404","82851936","90517297","87273114","-6043269.5","-13536923.68","14516011.2","15119279.3","15465611.8","-776434.35","-257776.2042","20320092.953","27724865.787","22936213.085","-5010446.483","-6965847.96488328","2023-05-01 04:13:09.0"
"2023","01","학교","6684","184960212","173263683","163266004","16695368.5","7078836.244","8346352","8266860","7959206","233319","522634.56","1806153.6","1648039","1477253.8","243507.2","80844.3904","30820.892","33523.232","34924.249","-3402.8485","-3719.515064","2023-04-01 04:12:32.0"
"2023","01","종교단체","808","9874545","9098674","8183196","1233610","523050.64","676952","624157","636188","46779.5","104786.08","44263","33850","33608","10534","3497.288","0","0","0","0","0","2023-04-01 04:12:32.0"
"2023","01","소상공인","49165","113324255","110218904","105664136","5382735","2282279.64","4026071","3743134","3643352","332828","745534.72","1380684.6","1311773.2","1201376.4","124109.8","41204.4536","2975.88","3645.84","3491.38","-592.73","-517.87606","2023-04-01 04:12:32.0"
